id,start_time,end_time,title,tags,people,venues,description
13407,"Fri, 25 Mar 2016 22:00:00 -0400","Fri, 25 Mar 2016 23:00:00 -0400",30 years of Lois McMaster Bujold," ExportMe,  Needs Moderator,  panel,  Scifi, Does Not Need More Panellists/Presenters","Sally Beasley, Chris Coman, Anna Hepworth, Heather Magee",Hamersley North (Small Panel Room),"From Shards of Honor,in 1986, to the latest book Gentleman Jole and the Red Queen, released just last month. We look back over the last 30 years of her writing and career, which has included winning 5 Hugos."
13408,"Sun, 27 Mar 2016 08:30:00 -0400","Sun, 27 Mar 2016 09:30:00 -0400",Primer on The Legion of Superheroes," Comics,  Does Not Need More Panellists/Presenters,  ExportMe,  panel, Does Not Need Moderator","Stevo , Jay Dalziel",Hamersley North (Small Panel Room),"The LSH What is it? Who are all these folks? And just how do you get started on nearly 60 years of comics history without being overwhelmed?
Moderator: Stevo"
13409,"Thu, 24 Mar 2016 08:00:00 -0400","Thu, 24 Mar 2016 09:00:00 -0400",Why You should run Swancon 2018," discussion,  Does Not Need Moderator,  Does Not Need More Panellists/Presenters,  ExportMe,  Fandom/Conrunning, Round table","Chris Coman, Stephen Griffiths",Hamersley South (Discussion Room),"Running a Swancon is a good idea.
Recently we have had very few (read no) bids to run.
Why you should not be scared to bid, and the great fun running swancon can be,
Ideally the outcome of this discussion is a skeleton of two competing bids"
13410,"Fri, 25 Mar 2016 07:30:00 -0400","Fri, 25 Mar 2016 08:30:00 -0400",I love this video games so much I'm going to talk about it for 3 minutes," Does Not Need Moderator,  ExportMe,  panel,  Video Games, Lightning (series of 3 minute)","Evan Beasley, Andy Hahn",Hamersley South (Discussion Room),"Talk for 3 minutes about a great game. Convince us to play it.
 Feel free to add yourself to the list of speakers on the day
Moderator: Evan Beasley"
13411,"Sun, 27 Mar 2016 07:30:00 -0400","Sun, 27 Mar 2016 08:30:00 -0400",Young Adult at Heart," Does Not Need More Panellists/Presenters,  Needs Moderator,  panel,  Written Fiction, ExportMe","Anna Hepworth, Laura Hodge, Rebecca Laffar-Smith, Susanna Rogers",North Ballroom (Large Panel Room),Why adults still love to read young adult works.
13412,"Sun, 27 Mar 2016 09:30:00 -0400","Sun, 27 Mar 2016 10:30:00 -0400",Homework: So long and thanks for all the fish," Round table, a launch in five parts","PRK , Naomi Butcher, Michael Cogan, Chris Coman, Kim Fenwick, Owen Godfrey, Brian Johnson, Damian Magee",Hamersley North (Small Panel Room),"#ALaunchInFiveParts - She finally knew how the world could be made a good and happy place. This time it was right, it would work, and no one would have to get nailed to anything. This is her story.
And it's the story of what great books you should be reading this year to get ready for Swancon 42. 
It's also a double-backward somersault through a hoop while whistling the ""Star Spangled Banner,"" that was, in fact, a message. The message was ""So long, and thanks for all the fish."""
13413,"Sun, 27 Mar 2016 04:00:00 -0400","Sun, 27 Mar 2016 05:00:00 -0400",Is Online Fan Fiction a Community?," Needs Moderator,  presentation, Academic",Gemma Bothe,Hamersley South (Discussion Room),"Can online fan fiction be understood as a community? If so what parameters exist that make this space a community space? Is it important for online fan fiction to be a community? Does it matter that online fan fiction is, or is not a community? If online fan fiction is not a community how else can this collective of people be characterised and described? Full abstract is online at https://2016.swancon.com.au/content/academic"
13414,"Sat, 26 Mar 2016 22:00:00 -0400","Sat, 26 Mar 2016 23:00:00 -0400",Eusociality," Does Not Need Moderator,  presentation,  Science and Tech, Academic",Daniel Drhoz,South Ballroom (Large Panel Room),"Social Insects are one of the most successful experiments produced by the already wildly successful Insect class. Come and learn more about the ants, bees, and wasps, and the other eusocial animals."
13415,"Fri, 25 Mar 2016 03:00:00 -0400","Fri, 25 Mar 2016 04:00:00 -0400",My Dog Has No Nose. Or Bones. Or Skin.," Does Not Need Moderator,  presentation,  Science and Tech, Academic",Daniel Drhoz,Hamersley North (Small Panel Room),Drhoz has regularly horrified Swancon attendees with tales of parasites and gruesome diseases. Now he's going to kick it up a notch with contagious cancers.
13416,"Sat, 26 Mar 2016 00:00:00 -0400","Sat, 26 Mar 2016 01:00:00 -0400",Visualising Gender Fluidity," Does Not Need Moderator,  presentation, Academic","Jack Bridges, Will Knox",Hamersley North (Small Panel Room),"Existing visual models of gender are static, focused on rigid categories, and don't capture the fluidity of the lived experience of identity. Using research into the current models used within gender variant communities, we designed an animated model of gender performance and identity for use with university staff wishing to be part of the ALLY Program. Full abstract is online at https://2016.swancon.com.au/content/academic"
