id,start_time,end_time,title,tags,people,venues,description
1533,"Thu, 09 Apr 2009 08:30:00 -0400","Thu, 09 Apr 2009 09:30:00 -0400",A Brief History of Time Travel,"Science, Science fiction","Michael Cogan, Kevin McCaw",Montana A,Who writes about it well? What are the theories? Why can't I kill my grandmother? What are the Trousers of Time? (diagrams required)
1534,"Thu, 09 Apr 2009 08:30:00 -0400","Thu, 09 Apr 2009 09:30:00 -0400",Art Registration and Display,"","",Oshaneshii,""
1535,"Thu, 09 Apr 2009 09:30:00 -0400","Thu, 09 Apr 2009 12:30:00 -0400",Art Show Closed,Bookmark,"",Oshaneshii,""
1536,"Thu, 09 Apr 2009 04:00:00 -0400","Thu, 09 Apr 2009 05:00:00 -0400",Art Show setup,Bookmark,"",Oshaneshii,""
1537,"Thu, 09 Apr 2009 09:30:00 -0400","Thu, 09 Apr 2009 10:30:00 -0400",Choose your own apocalypse - how our society might collapse,Science,"Art Diggle, Margaret Dunlop, Anna Hepworth",Montana B,Societies can collapse in a number of different ways for different reasons.  Which ones are most likely to apply to us?  What sort of collapse might we be in for?
1538,"Thu, 09 Apr 2009 08:30:00 -0400","Thu, 09 Apr 2009 09:30:00 -0400",Computers in SF,"Science, Science fiction","Theresa Anns, Rob Masters, John Parker",Cocktail Lounge,"From Orac to HAL to Skynet, come and discuss the various visions of computers in SF. Past, present and whatever they may hold in the future."
1539,"Thu, 09 Apr 2009 09:30:00 -0400","Thu, 09 Apr 2009 10:30:00 -0400",Digital art,"Equipment: AV, General","Nancy Lorenz, Andy Phillips, Lisa Rye, Emily Smith, Sarah Xu",Cocktail Lounge,"Holograms, online archives, mashups... how does it compare to traditional art practices? Discussion with examples."
1540,"Thu, 09 Apr 2009 10:30:00 -0400","Thu, 09 Apr 2009 11:30:00 -0400",First Contact,Science fiction,"Anna Hepworth, Elaine Walker",Montana B,From War of the Worlds to Carl Sagan's Contact and beyond: a discussion of first contact novels and movies.
1541,"Thu, 09 Apr 2009 09:30:00 -0400","Thu, 09 Apr 2009 10:30:00 -0400",I Am The Night: A History of the Caped Crusader,"Comics, Media, TV","Travis Johnson, Damian Magee, Zoe Wadsworth, Grant Watson",Montana A,"More than 70 years of comics, eight feature films, two movie serials, countless television shows - the Batman is one of the most iconic and effective pop culture heroes of the past century.

Why is the character so effective? What is the core appeal? Does Batman exist as a simple vigilante fantasy, or are there deeper themes at work? An examination of Batman in comics, in film and in television."
1542,"Thu, 09 Apr 2009 08:30:00 -0400","Thu, 09 Apr 2009 09:30:00 -0400",Killer Game Kick-off,"General, Icebreaker",Bill,Other,"Subtly (or not) take out your competitors. This will be run adjacent to the regular programme and is designed not to interfere with the con itself.

Participate at your own risk!"
1543,"Thu, 09 Apr 2009 10:30:00 -0400","Thu, 09 Apr 2009 11:30:00 -0400",Lost,"Fantasy, Science fiction, TV","Tom Eitelhuber, Graeme Watson, Sarah Xu",Montana A,"The TV series Lost is scheduled to conclude in 2010, with just over twenty episodes remaining. This definite time-limit suggests that The Survivors and Others are finally headed towards some sort of climactic endgame. This panel will encourage open discussion on the current and previous seasons, as well as speculation on future events."
1544,"Thu, 09 Apr 2009 08:30:00 -0400","Thu, 09 Apr 2009 12:30:00 -0400",Monster Games,Gaming,Greg Tannahill,Acacia,"Conquer or connive your way to the Imperial throne in Twilight Imperium, match (or lose) your wits against eldrich abominations in Arkham Horror or lead your legions to victory in Conquest of the Empire.

Some games just won't fit neatly into a short space of time. These are grand, sprawling affairs with lots of detail that will take 3-4 (or more!) hours to play. Just getting everyone together for a game can be a challenge in itself.... but that's what cons are for!

To facilitate the larger games, players will be able to sign up to play a game each evening (from about 8PM). Games will have a host who will teach new players the rules and, to ensure they start on time, reserve players who can fill a slot if a player cannot fulfill their commitments."
1545,"Thu, 09 Apr 2009 07:30:00 -0400","Thu, 09 Apr 2009 08:30:00 -0400",Opening Ceremony,"Equipment: AV, Format: Panel","Theresa Anns, Stephanie Bateman-Graham, Maia Bobrowicz, Jess Bridges, Trudi Canavan, Terry Chilvers, Linda Deegan, Elaine Kemp, Jaunita Landesse, Leece, Kathryn Linge, Rob Masters, Alistair McKie, Richard Morgan, Christopher Phillips, PRK","Montana A, Montana B","Come one and all to the Opening Ceremony for Contact: Swancon 2009!

The convention committee will introduce and welcome our guests and members, tell you about the key events planned for the con, and cover some necessary administrivia.

This will be followed by a ""Guide to Swancon"" session designed for new members but open to all. Experienced and friendly convention-goers will demystify the workings of Swancon, and explain how everyone can get the most from the panel programme, exhibitions, activities, competitions, games, sales, and socialising on offer over the 5 days."
1546,"Thu, 09 Apr 2009 06:00:00 -0400","Thu, 09 Apr 2009 07:30:00 -0400",Origami in the Fan Lounge,"Art, General, Icebreaker",Chris Creagh,Other,"Come and hang out, meet people and make your very own Origami Yoda.

http://necromanc.blogspot.com/2006/06/origami-yoda.html

Location: Fan Lounge"
1547,"Thu, 09 Apr 2009 04:00:00 -0400","Thu, 09 Apr 2009 05:00:00 -0400",Parenting Room Check-in,Bookmark,"",Other,"A place for people with young children to rest, recuperate, and talk quietly with friends.

This room will have a laptop and podcasts of various panels."
1548,"Thu, 09 Apr 2009 08:30:00 -0400","Thu, 09 Apr 2009 09:30:00 -0400",Safe Spaces at Cons,"Format: Discussion, General","Sandra Norman, Danny Oz, Sarah Parker, Sarah Xu",Montana B,"Every one thinks of conventions as safe spaces where they can just hang out and be. This is not always true. Our panellists will talk about creating safe spaces, maintaining safe spaces, safe spaces at conventions and the unspoken rules of safe spaces at cons. 

Includes discussions of the ""Open Source Boob Project"", room parties and conventions we've been to. There might be some amusing stories in there too, as well as some warnings and food for thought.

Adult themes."
1549,"Thu, 09 Apr 2009 10:30:00 -0400","Thu, 09 Apr 2009 11:30:00 -0400",Writing Slash - Tips & Techniques,Writing,"Fern Clarke, Cathy Cupitt",Cocktail Lounge,"A panel where slash authors provide an overview of their major ""do's"" and ""don'ts"" for writing in the genre along with various tips and techniques for crafting stories."
1550,"Fri, 10 Apr 2009 07:30:00 -0400","Fri, 10 Apr 2009 08:30:00 -0400",Accounts and Reflections: Literature on Neil Gaiman and his work,"Academic Panel, Equipment: AV, Fantasy, Format: Panel",Alice Pullin,Cocktail Lounge,"A survey of the critical and scholarly literature on Neil Gaiman and his work.

Abstract: Neil Gaiman is the multi-award winning and best-selling author
of some of the most critically acclaimed fantasy fiction published
during the past 20 years. What I will seek to do in this paper is to
conduct a brief survey of the existing scholarly critical literature on
Gaimanâ€™s work. Whist I am not trying to be exhaustive, I will engage
with as much of the literature as space allows. I also aim to identify
the trends and common foci of this critical literature, as well as
suggesting areas, works and themes that may be particularly deserving of
future scholarly interest."
1551,"Thu, 09 Apr 2009 22:00:00 -0400","Thu, 09 Apr 2009 23:00:00 -0400",Anime for casual viewers,"Anime, Equipment: AV, Media","Sophie Ambrose, Vanessa Huang, John Samuel, Colin Sharpe",Montana A,"""Anime"" covers a huge range of subgenres which can be daunting to the non-fan with specific tastes. Come find out about some of the great science fiction and fantasy anime ... now with giant robot and schoolgirl love. <strike>with a money back no giant robots or schoolgirls guarantee!</strike>."
1552,"Thu, 09 Apr 2009 21:00:00 -0400","Thu, 09 Apr 2009 22:00:00 -0400",Art Registration and Display,"","",Oshaneshii,""
1553,"Thu, 09 Apr 2009 22:00:00 -0400","Fri, 10 Apr 2009 06:00:00 -0400",Art Show,Art,Stephanie Bateman-Graham,Oshaneshii,"Swancon is a celebration of creativity in all its different forms, and the Swancon Art Show is an opportunity for members of the Swancon community to display and sell original works of art in any medium: pencil, paint, leather, lace, plaster, CG, paper and steel. Everyone has the capacity to create something interesting; everyone is an artist. Except maybe that person responsible for 'Dogs Playing Poker'."
1554,"Fri, 10 Apr 2009 07:30:00 -0400","Fri, 10 Apr 2009 12:30:00 -0400",Art Show Closed,Bookmark,"",Oshaneshii,""
1555,"Fri, 10 Apr 2009 05:00:00 -0400","Fri, 10 Apr 2009 06:00:00 -0400",Art Show Judges Visit,Art,"Theresa Anns, Trudi Canavan, Leece, Rob Masters, Richard Morgan",Other,""
1556,"Fri, 10 Apr 2009 04:00:00 -0400","Fri, 10 Apr 2009 06:00:00 -0400",Auction,General,"Linda Deegan, Craig Greenbank, Elaine Kemp, John Robertson, Calum Watson, Davina Watson, Grant Watson",Montana A,"Bid on things you want to buy - it's like e-bay, but in person!"
