id,start_time,end_time,title,tags,people,venues,description
12734,"Fri, 03 Apr 2015 09:00:00 +0800","Fri, 03 Apr 2015 10:00:00 +0800",Open Console Gaming,Video Games,Adam McCaw,Pilbara (Video Game Stream),"Come play some consoles! Try new games, play with friends or catch up on a game you haven't finished yet."
12842,"Fri, 03 Apr 2015 09:00:00 +0800","Fri, 03 Apr 2015 10:00:00 +0800",Learn Splendor,Participation Game,,Gaming Room (Goldsworthy),"Fast to play, deceptively simple to learn and a beautiful game, Splendor will have you mining the most wonderful gems - rubies, emeralds, sapphires, diamonds and others in the hopes of buying your own mines and shops, and even attracting a visit by a noble! If you find you enjoy it or like the sound of it, step up to the tournament."
12523,"Fri, 03 Apr 2015 09:30:00 +0800","Fri, 03 Apr 2015 10:30:00 +0800",Drawing Composite monsters: A collaboration,"Art / Artistic, Fantasy",Leece Smith,North Hamersley (Gaming and Others),"Free form audience participation thing - I'll either select people to come and draw the bits, or if no one wants to come up, I'll get the audience to select the species of beast that the bits come from.

Leece: Alright, what species of eagle do you want the gryphon's wings to come from? 

Audience member: Wedgetail!

If all goes well, it could be a combination of both, we will just have to see how we go on the evening"
12886,"Fri, 03 Apr 2015 09:30:00 +0800","Fri, 03 Apr 2015 10:00:00 +0800",Meet the Swancon A/V guy,Conrunning,Andy Hahn,Centre Ballroom (Med Ballroom),"Attention Swancon panelist, this session has been allotted for you to come and check out the standard A/V setup of your panel room. Should you require to test your devices, now is the time! Your friendly A/V Guy, Andy Hahn, will be available to chat to if you have any questions or requests."
12821,"Fri, 03 Apr 2015 09:45:00 +0800","Fri, 03 Apr 2015 10:00:00 +0800",Welcome to Swancon,Conrunning,,North Ballroom (Large ballroom),
12452,"Fri, 03 Apr 2015 10:00:00 +0800","Fri, 03 Apr 2015 11:00:00 +0800",Christopher vs Collins: Dystopias Past and Present,"Books, Mod","Sue Ackerman, Tsana Dolichva, Leonie Rogers, Cat Sparks",Centre Ballroom (Med Ballroom),"MODERATOR: SUE ACKERMAN
Young adult dystopias panel (ie, Hunger games, Divergent, others etc).YA dystopias have a lot more history than people imagine, and the idea of a bunch of teens scrapping out some form of survival has been seen in John Christopher novels through to Susan Collins. What draws us back into this theme again and again? How has technology changed the way the dystopias are formed, or how our young adults respond to the various apocalypses."
12588,"Fri, 03 Apr 2015 10:00:00 +0800","Fri, 03 Apr 2015 11:00:00 +0800",Gods and Monsters: Doctor Who's 13th Season,Sci-Fi,"Aaron Creaser, Damian Magee, Heather Magee, Danny Oz, Colin Sharpe, Grant Watson",North Ballroom (Large ballroom),"In 1975 Doctor Who returned to the BBC for its 13th series. It saw Tom Baker firmly establish himself as the most popular Doctor the series had ever had, and secure his Doctor's partnership with Sarah-Jane Smith (Elizabeth Sladen) in the minds of viewers forever. Over the course of six serials, viewers saw the Doctor and Sarah fight the Loch Ness Monster, travel to the edge of the universe, battle an Egyptian God, encounter robot duplicates, challenge an enemy from Time Lord history and struggle the save the Earth from an enormous plant. Join us as we celebrate one of Doctor Who's most popular and memorable seasons of all time."
12735,"Fri, 03 Apr 2015 10:00:00 +0800","Fri, 03 Apr 2015 13:00:00 +0800",Hyrule Warriors,Video Games,Adam McCaw,Pilbara (Video Game Stream),Play as characters from the Legend of Zelda games. Fight against endless hordes of foes and special bosses to reclaim Hyrule from an evil dark power. This game is variant on the Dynasty warriors games
12770,"Fri, 03 Apr 2015 10:00:00 +0800","Fri, 03 Apr 2015 18:00:00 +0800",Traders and Art Show,Event,,South Ballroom (Traders and Art Show Room),
12843,"Fri, 03 Apr 2015 10:00:00 +0800","Fri, 03 Apr 2015 11:00:00 +0800",Halfling Heist,Participation Game,,Gaming Room (Goldsworthy),"""Halfling Heist is a fast-paced board game that pits you against three other rival Halfling thieves. Snatch as much food as possible and scram before the City Watch catches you red-handed with someone else’s chicken sandwich. It’s quick, fun and brutal as you dodge the barroom brawl and try to outgrab and outscore your fellow Halflings. The more hits you take, the more Luck you’ll gain - just make sure you get out in time to enjoy your meal!"
12875,"Fri, 03 Apr 2015 10:00:00 +0800","Fri, 03 Apr 2015 11:00:00 +0800",Great Pteranodon Project,Guest of Honour Item,Anthony Peacey,Hamersley South (Small Panel Room),Alice-Ptichka the Terror of the Skies: How a revenant devil of the Cretaceous took over my life and made me slave for a year over hot steel.
12793,"Fri, 03 Apr 2015 10:30:00 +0800","Fri, 03 Apr 2015 10:45:00 +0800",FF - Bees,"15 Minutes, Science and Tech",Daniel Drhoz,North Hamersley (Gaming and Others),
12803,"Fri, 03 Apr 2015 10:45:00 +0800","Fri, 03 Apr 2015 11:00:00 +0800",FF - How To Be More Skeptical 101,"15 Minutes, Academic, Science and Tech",Kylie Sturgess,North Hamersley (Gaming and Others),
12411,"Fri, 03 Apr 2015 11:00:00 +0800","Fri, 03 Apr 2015 12:00:00 +0800",GoH - Speech - Kylie Chan,Guest of Honour Item,Kylie Chan,North Ballroom (Large ballroom),"Kylie's Guest of Honour Speech
North and centre ballroom as one"
12696,"Fri, 03 Apr 2015 11:00:00 +0800","Fri, 03 Apr 2015 11:30:00 +0800",Creche Rhymes,Family,Fe Waters,Family Room (Boardroom),"Your favourite nursery rhymes, with a twist. Come and sing some of the geekiest versions of kids songs ever, and maybe even write some yourself!

Lyrics for the current batch of Creche Rhymes can be found here:"
