id,start_time,end_time,title,tags,people,venues,description
11129,"Sun, 20 Apr 2014 22:30:00 -0400","Sun, 20 Apr 2014 23:30:00 -0400",Hanna-Barbera Cartoons: How do they stand up today?,"",Damian Magee,Provence (L2),"This first part of a presentation takes look at the early years and the classic cartoons that made studio famous, from the Flintstones to Scooby-Doo."
11130,"Sun, 20 Apr 2014 09:30:00 -0400","Sun, 20 Apr 2014 11:29:00 -0400",Video Quiz: Year 8,"",Damian Magee,"Champagne A (G), Champagne B (G)","The much acclaimed Video Quiz returns for it's eighth year of production. Come along to watch videos, answer questions, have fun, and prove your geekdom."
11649,"Sat, 19 Apr 2014 04:30:00 -0400","Sat, 19 Apr 2014 05:30:00 -0400",Classic Who Season 5: The Monster Season,Dr Who,"Aaron Creaser, Damian Magee, Heather Magee, Colin Sharpe",Champagne A (G),"We look at Troughton's second season as the Doctor; with stories from Tomb of the Cybermen to Wheel in Space, this is the season where the Ice warriors, the Yeti and the Great Intelligence was introduce."
11650,"Sat, 19 Apr 2014 22:30:00 -0400","Sat, 19 Apr 2014 23:30:00 -0400",Indie Board Games - Design And Publishing,Tabletop Gaming,Wez Lamont,Champagne A (G),"What are some of the best ways to take a game from an idea through to a playable prototype and play testing?
Once a game is successfully prototyped taking it to the next step for publication and distribution."
11651,"Sun, 20 Apr 2014 08:00:00 -0400","Sun, 20 Apr 2014 09:00:00 -0400",Burning Man and Blazing Swan,Fandom,Wez Lamont,Provence (L2),"What is Burning Man and Blazing Swan? Footage and photos from my 2013 Burning Man trip.
The 10 Principals and how they govern the festivals and the attendees.
Sneak Peak as to Blazing Swan Inception Setup and progress."
11652,"Sat, 19 Apr 2014 23:30:00 -0400","Sun, 20 Apr 2014 00:30:00 -0400","Sexuality, Politics and Religion","Deeper Themes, Social Justice, Social Justice","Jonathan Durnford, Matt Holmes, Gladys Spume, Elaine Walker",Champagne B (G),"Are you Polytheistic or Poly-sexual? Transhumanist or transgender? Liberal or libertine? Green or Pink? Left or right?
 
The three things that are not meant to be brought up in polite conversation at dinner parties are sex, politics and religion. Why? Because these are the three subjects that are most likely to offend someone. Perhaps ""sex"" has become a less taboo subject, but in many cases, discussing deviation in ""Sexuality"" has not.
 
So, why is it that these subjects have become inextricably linked? Is the “culture war” between science and religion a new or old conflict? Is the separation of church and state narrowing? Why are attempts to legalise gay marriage meeting with such strong resistance?
 
So come on down for a healthy and deep discussion of the Holy (or Unholy) Trinity of small-talk’s greatest enemies.

Moderator: Elaine Walker"
11654,"Fri, 18 Apr 2014 01:30:00 -0400","Fri, 18 Apr 2014 06:30:00 -0400",Open Tabletop Gaming (inc King of Tokyo Tournament,"","Michael Cogan, Adam McCaw",Bordeaux South (L1),
11656,"Fri, 18 Apr 2014 08:00:00 -0400","Fri, 18 Apr 2014 11:59:00 -0400",Open Tabletop Gaming,"","",Bordeaux South (L1),
11657,"Sat, 19 Apr 2014 01:30:00 -0400","Sat, 19 Apr 2014 06:30:00 -0400",Open Tabletop Gaming (inc Formula D Championship),"","",Bordeaux South (L1),
11658,"Sat, 19 Apr 2014 08:00:00 -0400","Sat, 19 Apr 2014 11:59:00 -0400",Open Tabletop Gaming,"","",Bordeaux South (L1),
11660,"Sun, 20 Apr 2014 01:30:00 -0400","Sun, 20 Apr 2014 03:30:00 -0400",Open Tabletop Gaming (inc Indi Gaming w/ Anthony Sweet,"",Anthony Sweet,Bordeaux South (L1),
11661,"Mon, 21 Apr 2014 01:30:00 -0400","Mon, 21 Apr 2014 04:30:00 -0400",Open Tabletop Gaming,"","",Bordeaux South (L1),
11662,"Mon, 21 Apr 2014 04:30:00 -0400","Mon, 21 Apr 2014 06:00:00 -0400",Room Closed,"","",Bordeaux South (L1),
11663,"Thu, 17 Apr 2014 04:30:00 -0400","Thu, 17 Apr 2014 06:00:00 -0400",Room Setup,"","",Boardrooms 1&2 (L1),
11664,"Thu, 17 Apr 2014 06:00:00 -0400","Thu, 17 Apr 2014 08:00:00 -0400",Open Console Gaming,"","",Boardrooms 1&2 (L1),
11665,"Thu, 17 Apr 2014 08:00:00 -0400","Thu, 17 Apr 2014 09:30:00 -0400",Retro Game: Pokemon Mini-Game Madness!,"","",Boardrooms 1&2 (L1),
11666,"Thu, 17 Apr 2014 09:30:00 -0400","Thu, 17 Apr 2014 11:59:00 -0400",Mario Party,"","",Boardrooms 1&2 (L1),
11667,"Thu, 17 Apr 2014 08:00:00 -0400","Thu, 17 Apr 2014 11:59:00 -0400",Open Tabletop Gaming (inc. Introduction to Board Gaming w Tim & Bron),"","Bronwyn Cropely, Tim McDougall",Bordeaux South (L1),
11668,"Thu, 17 Apr 2014 04:30:00 -0400","Thu, 17 Apr 2014 06:00:00 -0400",Room Setup,"","",Bordeaux South (L1),
11669,"Thu, 17 Apr 2014 21:00:00 -0400","Thu, 17 Apr 2014 22:00:00 -0400",Open Console Gaming,"","",Boardrooms 1&2 (L1),
11670,"Sun, 20 Apr 2014 03:30:00 -0400","Sun, 20 Apr 2014 06:30:00 -0400",Open Tabletop Gaming (inc indi gaming RAEZ Games),"",Wez Lamont,Bordeaux South (L1),
11671,"Thu, 17 Apr 2014 22:00:00 -0400","Thu, 17 Apr 2014 23:00:00 -0400",Forza 4 Time Trials,"","",Boardrooms 1&2 (L1),
11672,"Thu, 17 Apr 2014 23:00:00 -0400","Fri, 18 Apr 2014 00:30:00 -0400",Dynasty Warriors K.O. count challenge,"","",Boardrooms 1&2 (L1),
11673,"Fri, 18 Apr 2014 01:30:00 -0400","Fri, 18 Apr 2014 02:30:00 -0400",Retro Game: Pokemon Snap,"","",Boardrooms 1&2 (L1),
11674,"Fri, 18 Apr 2014 02:30:00 -0400","Fri, 18 Apr 2014 05:30:00 -0400",Left 4 Dead 1 & 2 Survival Challenge,"","",Boardrooms 1&2 (L1),
11675,"Fri, 18 Apr 2014 05:30:00 -0400","Fri, 18 Apr 2014 06:30:00 -0400",Soul Calibur IV & V,"","",Boardrooms 1&2 (L1),
11676,"Fri, 18 Apr 2014 08:00:00 -0400","Fri, 18 Apr 2014 09:00:00 -0400",Spyro Co-Op!,"","",Boardrooms 1&2 (L1),
11677,"Fri, 18 Apr 2014 09:00:00 -0400","Fri, 18 Apr 2014 11:30:00 -0400","Halo 4 Alternative: Racing, Demo Derby, Tank Racing & Super Happy Fun Land","","",Boardrooms 1&2 (L1),
11678,"Fri, 18 Apr 2014 21:00:00 -0400","Fri, 18 Apr 2014 22:00:00 -0400",Open Console Gaming,"","",Boardrooms 1&2 (L1),
11679,"Fri, 18 Apr 2014 22:00:00 -0400","Fri, 18 Apr 2014 23:30:00 -0400",Mario Kart,"","",Boardrooms 1&2 (L1),
11680,"Fri, 18 Apr 2014 23:30:00 -0400","Sat, 19 Apr 2014 00:30:00 -0400",Portal 2: Time Trials (Single + Co-Op),"","",Boardrooms 1&2 (L1),
11681,"Sat, 19 Apr 2014 01:30:00 -0400","Sat, 19 Apr 2014 03:00:00 -0400",Super Smash Bros Brawl Tournament,"","",Boardrooms 1&2 (L1),
11682,"Sat, 19 Apr 2014 03:00:00 -0400","Sat, 19 Apr 2014 04:00:00 -0400",Ultimate Capcom 3 Tournament,"","",Boardrooms 1&2 (L1),
11683,"Sat, 19 Apr 2014 04:00:00 -0400","Sat, 19 Apr 2014 06:30:00 -0400",Halo Reach Fire Fight Survival Challenge,"","",Boardrooms 1&2 (L1),
11685,"Sat, 19 Apr 2014 08:00:00 -0400","Sat, 19 Apr 2014 11:30:00 -0400",Open Console Gaming,"","",Boardrooms 1&2 (L1),
11686,"Sat, 19 Apr 2014 21:00:00 -0400","Sat, 19 Apr 2014 22:00:00 -0400",Open Console Gaming,"","",Boardrooms 1&2 (L1),
11687,"Sat, 19 Apr 2014 22:00:00 -0400","Sat, 19 Apr 2014 23:30:00 -0400",Retro Game: Lylat Wars Tournament ,"","",Boardrooms 1&2 (L1),
11688,"Sat, 19 Apr 2014 23:30:00 -0400","Sun, 20 Apr 2014 00:30:00 -0400",Super Street Fighter IV,"","",Boardrooms 1&2 (L1),
11689,"Sun, 20 Apr 2014 01:30:00 -0400","Sun, 20 Apr 2014 02:30:00 -0400",Pokemon Battle Revolution (Bring your DS),"","",Boardrooms 1&2 (L1),
11690,"Sun, 20 Apr 2014 02:30:00 -0400","Sun, 20 Apr 2014 03:30:00 -0400",Scott Pilgram vs The World Game!,"","",Boardrooms 1&2 (L1),
11691,"Sun, 20 Apr 2014 03:30:00 -0400","Sun, 20 Apr 2014 05:30:00 -0400",Retro Game: Golden Eye 64 T ornament ,"","",Boardrooms 1&2 (L1),
11692,"Sun, 20 Apr 2014 05:30:00 -0400","Sun, 20 Apr 2014 06:30:00 -0400",Open Console Gaming,"","",Boardrooms 1&2 (L1),
11693,"Sun, 20 Apr 2014 08:00:00 -0400","Sun, 20 Apr 2014 09:30:00 -0400",Halo 4 Tournament ,"","",Boardrooms 1&2 (L1),
11694,"Sun, 20 Apr 2014 09:30:00 -0400","Sun, 20 Apr 2014 11:30:00 -0400",Griff Ball!,"","",Boardrooms 1&2 (L1),
11695,"Sun, 20 Apr 2014 21:00:00 -0400","Sun, 20 Apr 2014 22:00:00 -0400",Open Console Gaming,"","",Boardrooms 1&2 (L1),
11696,"Sun, 20 Apr 2014 22:00:00 -0400","Sun, 20 Apr 2014 23:30:00 -0400",Blur Racing & Demo Derby,"","",Boardrooms 1&2 (L1),
11697,"Sun, 20 Apr 2014 23:30:00 -0400","Mon, 21 Apr 2014 00:30:00 -0400",Grandtourismo 5 Time Trials,"","",Boardrooms 1&2 (L1),
11698,"Mon, 21 Apr 2014 01:30:00 -0400","Mon, 21 Apr 2014 02:30:00 -0400",Wii Sports resort,"","",Boardrooms 1&2 (L1),
11699,"Mon, 21 Apr 2014 02:30:00 -0400","Mon, 21 Apr 2014 03:30:00 -0400",Initial D: Extreme Stage Time Trials,"","",Boardrooms 1&2 (L1),
11700,"Mon, 21 Apr 2014 03:30:00 -0400","Mon, 21 Apr 2014 05:00:00 -0400",Room closed - Pack Up,"","",Boardrooms 1&2 (L1),
11702,"Thu, 17 Apr 2014 09:00:00 -0400","Thu, 17 Apr 2014 10:00:00 -0400",From Space Invaders to Mass Effect: Aliens in Video Games,"Fandom, Needs People, Video Games",Krisjan Lie,Bordeaux North (L1),"Since the very first video game on a transistor computer, to the multi-platform cgi wonders of today, aliens have been a key feature in video games and video game culture. Our panelists will discuss the development of aliens, both in concept and in execution."
