id,start_time,end_time,title,tags,people,venues,description
5393,"Thu, 01 Apr 2010 03:30:00 -0400","Thu, 01 Apr 2010 06:30:00 -0400",Registration,"",Swancon Committee,Montana A,""
5394,"Thu, 01 Apr 2010 06:30:00 -0400","Thu, 01 Apr 2010 09:00:00 -0400",Cocktail Party,"","","Montana A, Montana B",""
5395,"Thu, 01 Apr 2010 09:00:00 -0400","Thu, 01 Apr 2010 10:00:00 -0400",Rocket Boys and Rocket Girls - Is the dream a reality?,"","",Montana A,""
5396,"Thu, 01 Apr 2010 09:00:00 -0400","Thu, 01 Apr 2010 10:00:00 -0400","Good, Bad and Forgettable - Buffy Review","","Kat Griffiths, Kitty  Hemsley, PRK",Montana B,""
5397,"Thu, 01 Apr 2010 09:00:00 -0400","Thu, 01 Apr 2010 10:00:00 -0400",Ticonderoga Book Launch,"",Russel B Farr,Cocktail Lounge,
5398,"Thu, 01 Apr 2010 10:00:00 -0400","Thu, 01 Apr 2010 11:00:00 -0400",Vampires Are Just Sooo Dead,"","Stephen Dedman, Richard  Harland, Ian Irvine, Sue Isle",Cocktail Lounge,""
5399,"Thu, 01 Apr 2010 10:00:00 -0400","Thu, 01 Apr 2010 11:00:00 -0400",Trailer Park 2010,"",David  Gunn,Montana B,
5400,"Thu, 01 Apr 2010 10:00:00 -0400","Thu, 01 Apr 2010 11:00:00 -0400",Sex and Evolution - The Evolution of Human Sexuality,"",Margaret  Dunlop,Montana A,
5401,"Thu, 01 Apr 2010 11:00:00 -0400","Thu, 01 Apr 2010 12:00:00 -0400",Geek Sing-A-Long,"",Desiree  Heald,Montana A,
5402,"Thu, 01 Apr 2010 08:00:00 -0400","Thu, 01 Apr 2010 12:00:00 -0400",Art Show Setup,"","",Fan Lounge,
5403,"Thu, 01 Apr 2010 21:30:00 -0400","Thu, 01 Apr 2010 22:30:00 -0400",Learn a Fight Choreography,"",Wing Chung,Montana B,""
5404,"Fri, 02 Apr 2010 01:30:00 -0400","Fri, 02 Apr 2010 02:30:00 -0400",Exiled to Earth: Dr. Who's 7th Season,"","David  Gunn, Heather  Macgee, Damian  Magee, Colin  Sharpe",Montana A,A look at Jon Pertwee's first season as the Doctor.
5405,"Thu, 01 Apr 2010 22:30:00 -0400","Thu, 01 Apr 2010 23:30:00 -0400",Opening Ceremony,"",Swancon Committee,"Montana A, Montana B",Shareholders are invited to join the Parasol Corporation Board for the official opening of Parasol's latest venture. What does the future hold for Parasol Corporation?
