id,start_time,end_time,title,tags,people,venues,description
7983,"Thu, 05 Apr 2012 07:00:00 -0400","Thu, 05 Apr 2012 07:30:00 -0400",Opening Ceremony,Main Event,"PRK , Chris Creagh, Marianne De Pierres, Kathleen Griffiths, Kitty Hemsley, Brendan Ragan, Brandon Sanderson",Ballroom North,"Let's kick this apocalypse off in style!
Come meet our fantastic guests and find out what's planned for the weekend."
7984,"Sat, 07 Apr 2012 08:00:00 -0400","Sat, 07 Apr 2012 11:59:00 -0400",Masquerade,Main Event,"",Ballroom North,
7985,"Thu, 05 Apr 2012 06:00:00 -0400","Thu, 05 Apr 2012 07:00:00 -0400",Wii Sports Resort,Video Gaming,"",Video Games,Come play Wii Sports Resort! There is over 30 sports like activities to choose from.
7986,"Thu, 05 Apr 2012 08:00:00 -0400","Thu, 05 Apr 2012 09:30:00 -0400",Pokemon Stadium mini game fun,Video Gaming,"",Video Games,Compete in a series of mini games as your favorite Pokemon to become the mini games champion. Both stadium 1 and 2 mini games will be played in four tournament rounds and two final rounds.
7987,"Thu, 05 Apr 2012 21:00:00 -0400","Thu, 05 Apr 2012 22:00:00 -0400",Street Fighter IV,Video Gaming,"",Video Games,Fight for the future and title of best fighter. The Super and Arcade versions will be used.
7988,"Thu, 05 Apr 2012 22:00:00 -0400","Thu, 05 Apr 2012 23:00:00 -0400",Forza 4 Time Trials,Video Gaming,"",Video Games,"Place times in the fastest cars in the world on the best tracks including Top Gear's test track. If you manage to beat the Stig's time, you might get a prize :)"
7989,"Thu, 05 Apr 2012 23:00:00 -0400","Fri, 06 Apr 2012 00:30:00 -0400",Call of Duty: Modern Warfare 3 Survival Challenge,Video Gaming,"",Video Games,Make your way through the toughest challenges a modern FPS has to offer. The aim of the game...Survive as long as you can and reach goal points.
7990,"Fri, 06 Apr 2012 00:30:00 -0400","Fri, 06 Apr 2012 02:30:00 -0400",Halo: Reach tournament,Video Gaming,"",Video Games,"Halo fans, now is your chance to enter a all out tournament to see who is the best. Don't miss this event as it's going to be big!"
7991,"Fri, 06 Apr 2012 02:30:00 -0400","Fri, 06 Apr 2012 04:00:00 -0400",Soul Calibur 4 and 5,Video Gaming,"",Video Games,Soul Edge and Soul Calibur return in the continuing fighting game series Soul Calibur 5. A tournament will be held from 15:00 to 16:00. 
7992,"Fri, 06 Apr 2012 04:00:00 -0400","Fri, 06 Apr 2012 05:00:00 -0400",Golden Eye Tournament,Video Gaming,"",Video Games,"007, or which ever agent you are. Your mission if you choose to accept it is to kill everyone as many times as possible! Both N64 and Wii versions will be available to play."
7993,"Fri, 06 Apr 2012 05:00:00 -0400","Fri, 06 Apr 2012 06:00:00 -0400",Star Wars Pod racing,Video Gaming,"",Video Games,"Feeling nostalgic? Feeling like playing sometime Star Wars and classic? well, it's time to race again in the fastest pods around. The version is the old N64 classic."
7994,"Fri, 06 Apr 2012 06:00:00 -0400","Fri, 06 Apr 2012 07:00:00 -0400",Lylat Wars,Video Gaming,"",Video Games,"Team Star Fox comes to Doomcon in the game that put the Star fox characters into the great classics. Play as Fox, Peppy, Slippy or Falco in a battles to see who is the best in the team. Those with 3DSs may wish to come along and have a tournament as well."
7995,"Fri, 06 Apr 2012 10:30:00 -0400","Fri, 06 Apr 2012 11:30:00 -0400",Fable III co-op time trials,Video Gaming,"",Video Games,Reaver has issued a challenge to all of you heroes out there. He wants you to spin the wheel of misfortune and battle in his arenas. The heroes with the highest score wins.
7996,"Fri, 06 Apr 2012 21:00:00 -0400","Fri, 06 Apr 2012 22:30:00 -0400",Ultimate Marvel vs. Capcom 3,Video Gaming,"",Video Games,"Doom! Doom! Doom! Doctor Doom that is. For the first event of Saturday's console stream, it's time to decide which universe is the winner. Help decide and support ether Marvel or Capcom."
7997,"Fri, 06 Apr 2012 22:30:00 -0400","Fri, 06 Apr 2012 23:30:00 -0400",Blur racing,Video Gaming,"",Video Games,"To sum up Blur in a nut shell, it's Mario Kart with real cars, slightly different power ups and courses based on real places. Come have some multi-player fun!"
7998,"Fri, 06 Apr 2012 23:30:00 -0400","Sat, 07 Apr 2012 00:30:00 -0400",Blur Destruction,Video Gaming,"",Video Games,"The Blur awesomeness continues, but in a different mode! Just like in Mario Kart, there's a brawl mode where your goal is to take out the other racers with power ups. The racer with the most points wins."
