id,start_time,end_time,title,tags,people,venues,description
9104,"Fri, 29 Mar 2013 08:00:00 -0400","Fri, 29 Mar 2013 09:00:00 -0400",Iron Brain: The Rebirth,"",Correynn Tan,Champagne 1,"PG-13 version of the popular convention game.
Contestants attempt to keep a straight face while reading aloud some of the worst dreck ever to stain a page."
9105,"Sun, 31 Mar 2013 09:00:00 -0400","Sun, 31 Mar 2013 10:00:00 -0400","SF writing, critical praise and winning awards","","PRK , Stephen Dedman, Mihaela Marija Perkovic, Juliet Marillier, Ian Nichols, Charles Stross, Lucy Sussex",Champagne 2,"Panellists discuss the type of genre writing that gathers critical attention, literary buzz and award-winning momentum."
9110,"Sun, 31 Mar 2013 21:30:00 -0400","Sun, 31 Mar 2013 22:30:00 -0400",Introduction to the Perth LARP scene,"","Sam Bowden, Andrew Leitch, Tim Pullen",Champagne 2,"Live Action Roleplaying Games (or LARPs) and the vibrant Perth scene that plays them. Meet representatives from various Perth LARP groups who will talk about their games, where they happen, what is involved, etc."
9116,"Mon, 01 Apr 2013 03:30:00 -0400","Mon, 01 Apr 2013 04:30:00 -0400",MTV animation of the 90s - a retrospective,"",Tom Eitelhuber,Champagne 1,"From the end of the 1980s to the early 2000s, MTV introduced a number of animated shows to their lineup which would gain a cult following and become collectively known to fans as ""90s MTV Animation"". Often surreal, frequently funny and generally possessed of an independent spirit, many of these series were highly acclaimed and several served as springboards to bigger work for their burgeoning creators. This presentation will provide a brief overview of the primary releases of the era - Liquid Television, The Head, The Maxx, Aeon Flux, Daria and, yes, even Beavis and Butthead."
9119,"Fri, 29 Mar 2013 08:00:00 -0400","Fri, 29 Mar 2013 10:00:00 -0400",Write a role playing campaign in two hours,"","Paul Kidd, John Parker",Provence (2nd Floor),Come and learn how to write a role playing campaign in two hours...in two hours.
9127,"Sun, 31 Mar 2013 08:00:00 -0400","Sun, 31 Mar 2013 09:00:00 -0400",Engaging with Social Media as a professional writer,"","John Birmingham, Gail Simone, Charles Stross, Lucy Sussex",Champagne 2,The Guests of Honour discuss their experiences as professional writers in a constantly changing online environments of social media and the digital environment.
9128,"Sun, 31 Mar 2013 04:30:00 -0400","Sun, 31 Mar 2013 05:30:00 -0400",Nineteenth Century Fantasy Art Nudes,"",Emma Hawkes,Provence (2nd Floor),"A presentation followed by a discussion on the use of fantasy figures in nineteenth-century nude oils and watercolours. Images of gods and goddesses, mermaids, sirens, nymphs and satyrs are examined."
9130,"Sun, 31 Mar 2013 23:30:00 -0400","Mon, 01 Apr 2013 00:30:00 -0400",Other Conventions in Australia,"","Stephanie , Samara Morgan",Champagne 2,
9131,"Mon, 01 Apr 2013 03:30:00 -0400","Mon, 01 Apr 2013 04:00:00 -0400",London Worldcon 2014,"","",Bordeaux South,"How to get to it, what to do, where to stay."
9132,"Fri, 29 Mar 2013 10:00:00 -0400","Fri, 29 Mar 2013 11:00:00 -0400",Rebel Empire: 5 years on,"","",Champagne 1,
